3,2,3,2,3,2,3,28,28,33,28,28,28,28,28,28,28,28,28,28,28,2,3,2,3,2,3,3
2,133,2,3,2,3,28,28,28,28,28,30,30,30,30,30,30,28,28,28,28,28,2,3,2,3,2,3
3,2,3,2,3,28,28,28,2,5,37,3,3,1,3,3,3,30,30,28,28,28,28,2,3,2,3,2
2,3,2,3,28,28,2,2,2,10,8,1,3,3,1,1,3,3,1,30,30,28,28,28,2,3,2,3
3,2,3,26,26,1,2,2,164,2,10,4,4,8,34,1,3,3,3,3,1,3,32,28,28,2,3,2
2,3,28,28,2,2,2,1,1,2,34,1,1,10,4,27,4,4,3,1,29,29,28,28,28,28,2,3
3,28,28,36,2,2,15,19,1,1,1,3,1,1,1,1,3,1,1,2,28,28,28,28,28,28,28,2
28,28,28,2,31,3,1,35,2,34,1,3,2,1,34,1,2,1,1,32,28,28,30,30,30,28,28,28
28,28,2,3,31,3,1,2,3,29,3,1,1,2,1,2,1,34,1,34,33,31,1,3,3,32,28,28
28,28,2,164,31,1,3,1,32,33,2,3,34,1,3,1,1,16,1,1,30,1,3,3,3,32,28,28
28,28,29,29,31,34,2,1,1,30,3,1,1,1,1,1,3,21,15,34,15,19,2,2,2,32,28,28
28,28,2,16,2,3,1,34,2,3,1,1,1,1,1,1,1,3,1,1,1,21,15,34,19,3,37,28
33,28,3,16,2,1,1,2,133,1,1,1,167,1,1,34,1,1,1,1,1,2,2,2,16,2,2,28
28,28,3,3,2,1,2,1,1,3,1,1,1,2,1,1,1,1,3,1,1,1,1,1,34,3,2,28
28,2,3,34,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,1,1,2,1,2,3,3,28,28
28,2,2,16,2,2,2,1,1,1,1,1,34,1,1,95,1,1,1,133,2,1,1,2,16,3,28,33
28,37,3,21,34,15,19,1,1,1,3,1,1,1,1,1,1,1,3,2,34,1,3,2,16,2,28,28
28,28,31,2,2,2,21,15,34,15,19,3,1,1,1,1,1,3,29,1,1,2,34,32,30,30,28,28
28,28,31,3,3,3,1,29,1,1,16,1,1,3,1,34,3,2,33,31,1,3,1,32,92,2,28,28
28,28,31,3,3,1,32,33,34,1,34,1,2,1,2,1,1,3,30,3,2,1,3,32,3,2,28,28
28,28,28,29,29,29,28,28,31,1,1,2,1,34,1,2,3,1,34,2,35,1,3,32,2,28,28,28
2,28,28,28,28,28,28,28,2,1,1,3,1,1,1,1,3,1,1,1,21,15,2,2,36,28,28,3
3,2,28,28,28,28,30,30,1,3,4,4,27,4,8,1,1,34,2,1,1,2,2,2,28,28,3,2
2,3,2,28,28,31,3,1,3,3,3,3,1,34,10,4,4,8,2,92,2,2,1,26,26,3,2,3
3,2,3,2,28,28,28,29,29,1,3,3,1,1,3,3,1,10,8,2,2,2,28,28,3,2,3,2
2,3,2,3,2,28,28,28,28,29,29,3,3,3,1,3,3,37,5,2,28,28,28,3,2,3,2,3
3,2,3,2,3,2,28,28,28,28,28,29,29,29,29,29,29,28,28,28,28,28,3,2,3,2,133,2
3,3,2,3,2,3,2,28,28,28,28,28,28,28,28,28,28,28,33,28,28,3,2,3,2,3,2,3
