1,16,1,1,3,34,5,1,10,8,34,3,1,18,171,5,3
3,21,15,171,1,1,5,34,1,10,4,4,8,16,1,26,1
34,1,1,16,7,4,9,3,1,3,3,1,10,27,4,9,34
16,3,7,27,9,34,1,1,34,15,19,3,1,16,34,2,1
16,36,5,1,3,1,3,1,3,1,21,35,1,16,1,1,1
16,1,5,3,1,1,174,3,1,3,2,2,3,21,34,1,3
27,27,9,1,112,15,19,1,1,34,2,2,1,1,3,2,1
1,16,2,3,1,1,16,34,3,21,19,3,2,1,1,1,112
1,133,3,1,34,2,16,3,112,3,16,2,34,1,3,133,1
112,1,1,1,2,3,21,19,3,34,16,1,1,3,2,16,1
1,2,3,1,1,2,2,34,1,1,21,15,112,1,7,27,27
3,1,34,19,3,2,2,3,1,3,120,1,1,3,5,1,16
1,1,1,16,1,35,19,1,3,1,3,1,3,1,5,36,16
1,2,34,16,1,3,21,15,34,1,1,34,7,27,9,3,16
34,7,4,27,8,1,3,3,1,3,7,4,9,16,1,1,34
1,26,1,16,10,4,4,8,1,34,5,1,1,118,15,19,3
3,5,118,20,1,3,34,10,8,1,5,34,3,1,1,16,1
