133,32,28,28,30,30,30,28,28,28,31,3,36,3,34,2,34,2,2
28,28,30,30,2,34,2,30,30,28,31,3,3,3,3,3,2,2,2
28,30,34,2,2,2,2,2,34,28,31,37,3,3,44,16,3,2,34
30,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,1,2,2
34,2,2,2,3,3,44,1,3,2,2,2,1,1,1,16,1,1,2
2,2,3,1,1,1,3,3,1,1,3,2,2,34,1,21,34,3,2
2,3,3,1,35,15,3,15,34,3,1,2,2,3,1,1,16,1,3
2,1,47,15,20,1,1,1,16,1,1,3,2,1,3,1,16,1,1
3,1,3,1,1,1,34,3,34,1,1,1,2,1,34,1,1,34,3
1,1,16,1,3,1,1,1,21,3,19,1,1,1,3,1,16,1,1
3,34,1,1,34,1,2,1,1,1,34,3,34,1,1,1,3,1,3
1,1,16,1,3,1,2,3,1,1,16,1,1,1,18,15,42,1,2
3,1,16,1,1,3,2,2,1,3,34,15,3,15,35,1,3,3,2
2,3,34,19,1,34,2,2,3,1,1,3,3,1,1,1,3,2,2
2,1,1,16,1,1,1,2,2,2,3,1,39,3,3,2,2,2,34
2,2,1,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,29
34,2,3,16,39,3,3,37,32,28,34,2,2,2,2,2,34,29,28
2,2,2,3,3,3,3,3,32,28,29,29,2,34,2,29,29,28,28
2,2,34,2,34,3,36,3,32,28,28,28,29,29,29,28,28,31,133
