2,2,2,2,2,2,2,3,1,3,5,2,2,3,1,1,1,1,34
15,15,15,15,15,19,1,1,133,3,5,3,1,1,34,3,3,7,27
2,2,2,3,34,16,2,3,1,3,5,34,1,1,3,7,4,9,34
2,2,3,1,1,16,1,1,1,1,26,15,15,22,15,26,15,15,15
2,3,1,1,3,16,34,3,2,1,5,1,3,16,7,9,1,34,2
2,3,1,35,1,16,3,7,4,27,13,11,4,27,9,3,1,2,2
4,4,4,4,4,27,4,12,2,1,3,5,34,16,3,1,1,3,2
3,36,3,1,3,16,1,26,1,18,15,26,15,23,2,1,44,1,2
2,1,1,1,1,16,34,5,3,16,34,5,3,16,1,1,1,3,44
1,1,1,3,42,16,1,14,4,27,4,12,1,16,47,3,1,1,1
39,3,1,1,1,16,3,5,34,16,3,5,34,16,1,1,1,1,2
2,1,39,1,2,25,15,26,15,20,1,26,1,16,3,1,3,36,3
2,3,1,1,3,16,34,5,3,1,2,14,4,27,4,4,4,4,4
2,2,1,3,7,27,4,13,11,27,4,9,3,16,1,35,1,3,2
2,34,1,7,9,16,3,1,5,1,2,3,34,16,3,1,1,3,2
15,15,15,26,15,24,15,15,26,1,1,1,1,16,1,1,3,2,2
34,7,4,9,3,1,1,34,5,3,1,3,2,16,34,3,2,2,2
27,9,3,3,34,1,1,3,5,3,133,1,1,21,15,15,15,15,15
34,1,1,1,1,3,2,2,5,3,1,3,2,2,2,2,2,2,2
